anio,edad,sexo,cantidad_personas,condicion_asist_escolar
1991,6.0,v,135,No asiste pero asistió
1991,6.0,v,79,Ignorado
1991,7.0,m,17563,Asiste
1991,7.0,m,62,Nunca asistió
1991,7.0,m,140,No asiste pero asistió
1991,7.0,m,80,Ignorado
1991,7.0,v,18295,Asiste
1991,7.0,v,63,Nunca asistió
1991,7.0,v,122,No asiste pero asistió
1991,7.0,v,69,Ignorado
1991,8.0,m,17840,Asiste
1991,8.0,m,45,Nunca asistió
1991,8.0,m,127,No asiste pero asistió
1991,8.0,m,63,Ignorado
1991,8.0,v,18093,Asiste
1991,8.0,v,44,Nunca asistió
1991,8.0,v,121,No asiste pero asistió
1991,8.0,v,65,Ignorado
1991,9.0,m,18495,Asiste
1991,9.0,m,35,Nunca asistió
1991,9.0,m,158,No asiste pero asistió
1991,9.0,m,62,Ignorado
1991,9.0,v,18753,Asiste
1991,9.0,v,43,Nunca asistió
1991,9.0,v,147,No asiste pero asistió
1991,9.0,v,61,Ignorado
1991,10.0,m,18630,Asiste
1991,10.0,m,36,Nunca asistió
1991,10.0,m,152,No asiste pero asistió
1991,10.0,m,83,Ignorado
1991,10.0,v,19439,Asiste
1991,10.0,v,53,Nunca asistió
1991,10.0,v,170,No asiste pero asistió
1991,10.0,v,91,Ignorado
1991,11.0,m,19484,Asiste
1991,11.0,m,41,Nunca asistió
1991,11.0,m,191,No asiste pero asistió
1991,11.0,m,76,Ignorado
1991,11.0,v,20022,Asiste
1991,11.0,v,45,Nunca asistió
1991,11.0,v,200,No asiste pero asistió
1991,11.0,v,94,Ignorado
1991,12.0,m,19335,Asiste
1991,12.0,m,42,Nunca asistió
1991,12.0,m,290,No asiste pero asistió
1991,12.0,m,63,Ignorado
1991,12.0,v,19965,Asiste
1991,12.0,v,25,Nunca asistió
1991,12.0,v,238,No asiste pero asistió
1991,12.0,v,80,Ignorado
1991,13.0,m,19184,Asiste
1991,13.0,m,27,Nunca asistió
1991,13.0,m,602,No asiste pero asistió
1991,13.0,m,66,Ignorado
1991,13.0,v,19557,Asiste
1991,13.0,v,33,Nunca asistió
1991,13.0,v,641,No asiste pero asistió
1991,13.0,v,53,Ignorado
1991,14.0,m,19447,Asiste
1991,14.0,m,32,Nunca asistió
1991,14.0,m,1212,No asiste pero asistió
1991,14.0,m,66,Ignorado
1991,14.0,v,19352,Asiste
1991,14.0,v,42,Nunca asistió
1991,14.0,v,1298,No asiste pero asistió
